study,title,condition.variable,condition.value,condition.name,condition.text,blurb,Exclude,Manipulation_includes_question_1yes_2outcome,Notes
Blair1131,Do Women Make More Credible Threats? Gender Stereotypes and Crisis Bargaining,BLAIR,11,"Male, Democrat, Erica, Not engage","A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.

The Democratic U.S. President, Erica Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Erica Smith decides not to send troops, and the attacking country gains 20% of the contested territory.

To summarize:

•        The attacking country is led by a male leader.
•        The U.S. President is a Democrat named Erica Smith.
•        Erica Smith says that if the attack continues, the United States military will push out the invaders.
•        The attacking country continues to invade and Eric Smith does not send troops.
•        The attacking country gains 20% of the contested territory.

",The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove.,0,0,
Blair1131,Do Women Make More Credible Threats? Gender Stereotypes and Crisis Bargaining,BLAIR,12,"Male, Democrat, Erica, Engage","A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.

The Democratic U.S. President, Erica Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Erica Smith orders the military to engage. The attacking country gains 20% of the contested territory, and the U.S. experiences zero casualties. 

To summarize:

•        The attacking country is led by a male leader.
•        The U.S. President is a Democrat named Erica Smith.
•        Erica Smith says that if the attack continues, the United States military will push out the invaders.
•        The attacking country continues to invade and Eric Smith does decide to send troops.
•        The attacking country gains 20% of the contested territory.
•        The U.S. experiences zero casualties.",The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove.,0,0,
CalarcoS38,Public Perceptions of Prenatal Alcohol Consumption,CALARCO_VIGNETTE,1,"HIGH STATUS, NO DRINKING, NO WARNING","Megan is a 27-year-old <u>lawyer</u>. One Friday, after a long day <u>at the office</u>, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child – but she agrees to tag along. At the bar, Meagan and her <u>colleagues</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>drinks only water<u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to drink only water at the bar?","Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.",0,2,
CalarcoS38,Public Perceptions of Prenatal Alcohol Consumption,CALARCO_VIGNETTE,2,"HIGH STATUS, NO DRINKING, WARNING","Megan is a 27-year-old <u>lawyer</u>. One Friday, after a long day <u>at the office</u>, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, <u>and she recalls her doctor saying that pregnant women should avoid alcohol</u> – but she agrees to tag along. At the bar, Megan and her <u>colleagues</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>drinks only water</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to drink only water at the bar?","Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.",0,2,
CalarcoS38,Public Perceptions of Prenatal Alcohol Consumption,CALARCO_VIGNETTE,3,"HIGH STATUS, LIGHT DRINKING, NO WARNING","Megan is a 27-year-old <u>lawyer</u>. One Friday, after a long day at the office, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child – but she agrees to tag along. At the bar, Megan and her <u>colleagues<u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>sips one glass of wine</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to sip one glass of wine at the bar?","Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.",0,2,
CalarcoS38,Public Perceptions of Prenatal Alcohol Consumption,CALARCO_VIGNETTE,4,"HIGH STATUS, LIGHT DRINKING, WARNING","Megan is a 27-year-old <u>lawyer</u>. One Friday, after a long day at the office, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, <u>and she recalls her doctor saying that pregnant women should avoid alcohol</u> – but she agrees to tag along. At the bar, Megan and her <u>colleagues<u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>sips one glass of wine<u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to sip one glass of wine at the bar?","Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.",0,2,
CalarcoS38,Public Perceptions of Prenatal Alcohol Consumption,CALARCO_VIGNETTE,5,"HIGH STATUS, HEAVY DRINKING, NO WARNING","Megan is a 27-year-old <u>lawyer</u>. One Friday, after a long day at the office, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child – but she agrees to tag along. At the bar, Megan and her <u>colleagues</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>finishes two glasses of wine</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to finish two glasses of wine at the bar?","Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.",0,2,
CalarcoS38,Public Perceptions of Prenatal Alcohol Consumption,CALARCO_VIGNETTE,6,"HIGH STATUS, HEAVY DRINKIG, WARNING","Megan is a 27-year-old <u>lawyer</u>. One Friday, after a long day at the office, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, <u>and she recalls her doctor saying that pregnant women should avoid alcohol</u> – but she agrees to tag along. At the bar, Megan and her <u>colleagues</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>finishes two glasses of wine</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to finish two glasses of wine at the bar?","Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.",0,2,
CalarcoS38,Public Perceptions of Prenatal Alcohol Consumption,CALARCO_VIGNETTE,7,"LOW STATUS, NO DRINKING, NO WARNING","Megan is a 27-year-old <u>cashier at a supermarket</u>. One Friday, after a long day at the store, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child – but she agrees to tag along. At the bar, Megan and her <u>co-workers</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>drinks only water</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to drink only water at the bar?","Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.",0,2,
CalarcoS38,Public Perceptions of Prenatal Alcohol Consumption,CALARCO_VIGNETTE,8,"LOW STATUS, NO DRINKING, WARNING","Megan is a 27-year-old <u>cashier at a supermarket</u>. One Friday, after a long day at the store, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, <u>and she recalls her doctor saying that pregnant women should avoid alcohol</u> – but she agrees to tag along. At the bar, Megan and her <u>co-workers</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>drinks only water</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to drink only water at the bar?","Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.",0,2,
CalarcoS38,Public Perceptions of Prenatal Alcohol Consumption,CALARCO_VIGNETTE,9,"LOW STATUS, LIGHT DRINKING, NO WARNING","Megan is a 27-year-old <u>cashier at a supermarket</u>. One Friday, after a long day at the store, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child – but she agrees to tag along. At the bar, Megan and her <u>co-workers</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>sips one glass of wine</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to sip one glass of wine at the bar?","Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.",0,2,
CalarcoS38,Public Perceptions of Prenatal Alcohol Consumption,CALARCO_VIGNETTE,10,"LOW STATUS, LIGHT DRINKING, WARNING","Megan is a 27-year-old <u>cashier at a supermarket</u>. One Friday, after a long day at the store, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, <u>and she recalls her doctor saying that pregnant women should avoid alcohol</u> – but she agrees to tag along. At the bar, Megan and her <u>co-workers</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>sips one glass of wine</u>. After about an hour, Megan’s husband comes to pick her up and drive her home. 

To what extent do you approve or disapprove of Megan’s decision to sip one glass of wine at the bar?","Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.",0,2,
CalarcoS38,Public Perceptions of Prenatal Alcohol Consumption,CALARCO_VIGNETTE,11,"LOW STATUS, HEAVY DRINKING, NO WARNING","Megan is a 27-year-old <u>cashier at a supermarket</u>. One Friday, after a long day at the store, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child– but she agrees to tag along. At the bar, Megan and her <u>co-workers</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>finishes two glasses of wine</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to finish two glasses of wine at the bar?","Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.",0,2,
CalarcoS38,Public Perceptions of Prenatal Alcohol Consumption,CALARCO_VIGNETTE,12,"LOW STATUS, HEAVY DRINKING, WARNING","Megan is a 27-year-old <u>cashier at a supermarket</u>. One Friday, after a long day at the store, a few of Megan’s co-workers invite her to join them at a nearby bar for drinks. Megan is seven months pregnant with her first child, <u>and she recalls her doctor staying that pregnant women should avoid alcohol</u> – but she agrees to tag along. At the bar, Megan and her <u>co-workers</u> swap stories and talk about possible names for Megan’s baby. While chatting, Megan <u>finishes two glasses of wine</u>. After about an hour, Megan’s husband comes to pick her up and drive her home.

To what extent do you approve or disapprove of Megan’s decision to finish two glasses of wine at the bar?","Please read the following story and form an impression of the individual described in the story. After reading the story, please answer the questions with your first uncensored impressions. The questions may feel vague or you might feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.",0,2,
Cohen1099,"Social Class, College Debt, and the Purpose of College",VIGNOE,1;2,"male, upper class, no info","Michael recently graduated from high school and is starting college this fall. His mother and father, both lawyers, are very proud of him. Michael is excited to be attending his first-choice college, a highly-ranked private university.","Please read the story on the next page carefully. Then, answer the questions with your first uncensored impressions. The questions may feel vague, or you may feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible. Please pay careful attention to the story--you will use it to answer the survey questions.",0,0,
Cohen1099,"Social Class, College Debt, and the Purpose of College",VIGNOE,3;4,"male, working class, no info","Michael recently graduated from high school and is starting college this fall. His mother and father, both factory workers, are very proud of him. Michael is excited to be attending his first-choice college, a highly-ranked private university.","Please read the story on the next page carefully. Then, answer the questions with your first uncensored impressions. The questions may feel vague, or you may feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible. Please pay careful attention to the story--you will use it to answer the survey questions.",0,0,
Cohen1099,"Social Class, College Debt, and the Purpose of College",VIGNOE,5;6,"male, upper class, student loans","Michael recently graduated from high school and is starting college this fall. His mother and father, both lawyers, are very proud of him. Michael is excited to be attending his first-choice college, a highly-ranked private university. Michael will be taking out loans to help pay for school and will graduate with about $30,000 in debt.","Please read the story on the next page carefully. Then, answer the questions with your first uncensored impressions. The questions may feel vague, or you may feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible. Please pay careful attention to the story--you will use it to answer the survey questions.",0,0,
Cohen1099,"Social Class, College Debt, and the Purpose of College",VIGNOE,7;8,"male, working class, student loans","Michael recently graduated from high school and is starting college this fall. His mother and father, both factory workers, are very proud of him. Michael is excited to be attending his first-choice college, a highly-ranked private university. Michael will be taking out loans to help pay for school and will graduate with about $30,000 in debt.<","Please read the story on the next page carefully. Then, answer the questions with your first uncensored impressions. The questions may feel vague, or you may feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible. Please pay careful attention to the story--you will use it to answer the survey questions.",0,0,
Cohen1099,"Social Class, College Debt, and the Purpose of College",VIGNOE,9;10,"male, upper class, no debt","Michael recently graduated from high school and is starting college this fall. His mother and father, both lawyers, are very proud of him. Michael is excited to be attending his first-choice college, a highly-ranked private university. The university provides funding to cover the costs that families cannot pay, so Michael will graduate with no debt.","Please read the story on the next page carefully. Then, answer the questions with your first uncensored impressions. The questions may feel vague, or you may feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible. Please pay careful attention to the story--you will use it to answer the survey questions.",0,0,
Cohen1099,"Social Class, College Debt, and the Purpose of College",VIGNOE,11;12,"male, working class, no debt","Michael recently graduated from high school and is starting college this fall. His mother and father, both factory workers, are very proud of him. Michael is excited to be attending his first-choice college, a highly-ranked private university. The university provides funding to cover the costs that families cannot pay, so Michael will graduate with no debt.","Please read the story on the next page carefully. Then, answer the questions with your first uncensored impressions. The questions may feel vague, or you may feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible. Please pay careful attention to the story--you will use it to answer the survey questions.",0,0,
Cohen1099,"Social Class, College Debt, and the Purpose of College",VIGNOE,13;14,"female, upper class, no info","Emily recently graduated from high school and is starting college this fall. Her mother and father, both lawyers, are very proud of her. Emily is excited to be attending her first-choice college, a highly-ranked private university.","Please read the story on the next page carefully. Then, answer the questions with your first uncensored impressions. The questions may feel vague, or you may feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible. Please pay careful attention to the story--you will use it to answer the survey questions.",0,0,
Cohen1099,"Social Class, College Debt, and the Purpose of College",VIGNOE,15;16,"female, working class, no info","Emily recently graduated from high school and is starting college this fall. Her mother and father, both factory workers, are very proud of her. Emily is excited to be attending her first-choice college, a highly-ranked private university.","Please read the story on the next page carefully. Then, answer the questions with your first uncensored impressions. The questions may feel vague, or you may feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible. Please pay careful attention to the story--you will use it to answer the survey questions.",0,0,
Cohen1099,"Social Class, College Debt, and the Purpose of College",VIGNOE,17;18,"female, upper class, student loans","Emily recently graduated from high school and is starting college this fall. Her mother and father, both lawyers, are very proud of her. Emily is excited to be attending her first-choice college, a highly-ranked private university. Emily will be taking out loans to help pay for school and will graduate with about $30,000 in debt.","Please read the story on the next page carefully. Then, answer the questions with your first uncensored impressions. The questions may feel vague, or you may feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible. Please pay careful attention to the story--you will use it to answer the survey questions.",0,0,
Cohen1099,"Social Class, College Debt, and the Purpose of College",VIGNOE,19;20,"female, working class, student loans","Emily recently graduated from high school and is starting college this fall. Her mother and father, both factory workers, are very proud of her. Emily is excited to be attending her first-choice college, a highly-ranked private university. Emily will be taking out loans to help pay for school and will graduate with about $30,000 in debt.","Please read the story on the next page carefully. Then, answer the questions with your first uncensored impressions. The questions may feel vague, or you may feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible. Please pay careful attention to the story--you will use it to answer the survey questions.",0,0,
Cohen1099,"Social Class, College Debt, and the Purpose of College",VIGNOE,21;22,"female, upper class, no debt","Emily recently graduated from high school and is starting college this fall. Her mother and father, both lawyers, are very proud of her. Emily is excited to be attending her first-choice college, a highly-ranked private university. The university provides funding to cover the costs that families cannot pay, so Emily will graduate with no debt.","Please read the story on the next page carefully. Then, answer the questions with your first uncensored impressions. The questions may feel vague, or you may feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible. Please pay careful attention to the story--you will use it to answer the survey questions.",0,0,
Cohen1099,"Social Class, College Debt, and the Purpose of College",VIGNOE,23;24,"female, working class, no debt","Emily recently graduated from high school and is starting college this fall. Her mother and father, both factory workers, are very proud of her. Emily is excited to be attending her first-choice college, a highly-ranked private university. The university provides funding to cover the costs that families cannot pay, so Emily will graduate with no debt.","Please read the story on the next page carefully. Then, answer the questions with your first uncensored impressions. The questions may feel vague, or you may feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible. Please pay careful attention to the story--you will use it to answer the survey questions.",0,0,
HamiltonS31,Whom Do You Believe? Assessing Credibility of the Accuser and Accused in Sexual Assault,HAMILTON_VIGNETTE,1,WOMAN ACCUSER,A woman has accused a man of sexually assaulting her. The man denies the allegation.,"Please form an impression of the people described below. Then please answer the questions with your first uncensored impressions. The questions may feel vague, or you may feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.",0,0,
HamiltonS31,Whom Do You Believe? Assessing Credibility of the Accuser and Accused in Sexual Assault,HAMILTON_VIGNETTE,2,MAN ACCUSER,A man has accused a woman of sexually assaulting him. The woman denies the allegation.,"Please form an impression of the people described below. Then please answer the questions with your first uncensored impressions. The questions may feel vague, or you may feel like you do not have enough information to answer them, but please answer as truthfully and honestly as possible.",0,0,
